Car_url,Year,Make,Model,Fuel_type,Price,Kms_Driven,Transmission,Address,City,Down_payment_amount,Loan_amount,Interest_rate_annual,Tenure_months,Emi
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/i10/sportz-11-irde2-kukatpally-2014/23860519/,2014,Hyundai,i10,petrol,272000,106500,manual,"Kukatpally, Hyderabad",Hyderabad,54400,217600,9.5,60,4570
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/swift-dzire/zxi-kukatpally-2014/23128142/,2014,Maruti,Swift Dzire,petrol,394000,42500,manual,"Kukatpally, Hyderabad",Hyderabad,78800,315200,9.5,60,6620
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/i10/sportz-11-irde2-kukatpally-2015/25495397/,2015,Hyundai,i10,petrol,341000,49500,manual,"Kukatpally, Hyderabad",Hyderabad,68200,272800,9.5,60,5729
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/swift/zxi-plus-amt-uppal-2023/26319089/,2023,Maruti,Swift,petrol,742000,20500,automatic,"Uppal, Hyderabad",Hyderabad,148400,593600,9.5,60,12467
https://www.spinny.com/buy-used-cars/hyderabad/honda/amaze/12-vx-at-ivtec-kukatpally-2017/26358313/,2017,Honda,Amaze,petrol,519000,74500,automatic,"Kukatpally, Hyderabad",Hyderabad,103800,415200,9.5,60,8720
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/dzire/zxi-plus-amt-kukatpally-2017/26165818/,2017,Maruti,Dzire,petrol,537000,112000,automatic,"Kukatpally, Hyderabad",Hyderabad,107400,429600,9.5,60,9022
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/grand-i10/sportz-12-kappa-vtvt-uppal-2018/26021082/,2018,Hyundai,Grand i10,petrol,428000,91500,manual,"Uppal, Hyderabad",Hyderabad,85600,342400,9.5,60,7191
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/grand-i10/sportz-12-kappa-vtvt-kukatpally-2014/25716173/,2014,Hyundai,Grand i10,petrol,325000,110500,manual,"Kukatpally, Hyderabad",Hyderabad,65000,260000,9.5,60,5460
https://www.spinny.com/buy-used-cars/hyderabad/honda/jazz/sv-petrol-uppal-2016/25338170/,2016,Honda,Jazz,petrol,472000,53000,manual,"Uppal, Hyderabad",Hyderabad,94400,377600,9.5,60,7930
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/grand-i10/sportz-12-kappa-vtvt-uppal-2015/26250684/,2015,Hyundai,Grand i10,petrol,391000,67500,manual,"Uppal, Hyderabad",Hyderabad,78200,312800,9.5,60,6569
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/i20-active/12-sx-hafeezpet-2019/25468295/,2019,Hyundai,i20 Active,petrol,583000,54000,manual,"Hafeezpet, Hyderabad",Hyderabad,116600,466400,9.5,60,9795
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/creta/sx-o-14-turbo-7-dct-kukatpally-2020/23764559/,2020,Hyundai,Creta,petrol,1236000,91500,automatic,"Kukatpally, Hyderabad",Hyderabad,247200,988800,9.5,60,20767
https://www.spinny.com/buy-used-cars/hyderabad/nissan/micra-active/xv-kukatpally-2015/25543729/,2015,Nissan,Micra Active,petrol,317000,61000,manual,"Kukatpally, Hyderabad",Hyderabad,63400,253600,9.5,60,5326
https://www.spinny.com/buy-used-cars/hyderabad/nissan/magnite/xv-premium-turbo-cvt-uppal-2023/22988404/,2023,Nissan,Magnite,petrol,713000,86500,automatic,"Uppal, Hyderabad",Hyderabad,142600,570400,9.5,60,11979
